City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,flying fish cove,-10.4217,105.6791,298.97,88,100,4.63,CX,1728675466
322,fomboni,-12.28,43.7425,298.71,72,5,0.51,KM,1728675468
323,mahina,-17.5065,-149.489,301.02,69,75,2.57,PF,1728675469
324,cadale,2.7603,46.3222,298.96,87,92,8.03,SO,1728675470
325,hami,42.8,93.45,291.25,22,96,3.53,CN,1728675472
326,pimentel,-6.8367,-79.9342,295.31,64,0,9.26,PE,1728675473
327,laurel,39.0993,-76.8483,294.85,42,0,4.63,US,1728675238
328,qarqaraly,49.4058,75.4742,280.88,81,100,6.76,KZ,1728675476
329,rabo de peixe,37.8,-25.5833,291.88,99,40,5.66,PT,1728675479
330,kone,-21.0595,164.8658,294.68,75,88,2.08,NC,1728675482
331,manokwari,-0.8667,134.0833,299.23,75,7,2.19,ID,1728675484
332,duluth,46.7833,-92.1066,294.57,41,40,6.17,US,1728675370
333,podporozh'ye,60.9112,34.1706,285.29,87,100,5.24,RU,1728675488
334,tsumeb,-19.2333,17.7167,299.62,17,0,3.69,NA,1728675489
335,novodvinsk,64.4165,40.8122,277.01,86,100,6.86,RU,1728675490
336,itoman,26.1247,127.6694,299.16,78,75,4.12,JP,1728675491
337,mount isa,-20.7333,139.5,294.02,35,1,0.0,AU,1728675493
338,altamira,-3.2033,-52.2064,309.2,41,40,4.63,BR,1728675494
339,whistler,50.1164,-122.9695,283.72,54,40,1.54,CA,1728675240
340,huarmey,-10.0681,-78.1522,293.63,73,15,4.78,PE,1728675497
341,monrovia,6.3005,-10.7969,297.48,88,100,2.61,LR,1728675499
342,turkestan,43.3333,68.25,288.8,52,100,3.8,KZ,1728675502
343,imbituva,-25.23,-50.6044,291.97,98,100,1.32,BR,1728675503
344,nova vicosa,-17.8919,-39.3719,299.44,71,81,5.27,BR,1728675505
345,priozersk,61.0393,30.1291,284.31,89,100,3.16,RU,1728675506
346,anamosa,42.1083,-91.2852,302.65,31,0,4.63,US,1728675457
347,achacachi,-16.05,-68.6833,287.8,39,4,5.74,BO,1728675509
348,ambodifotatra,-16.9833,49.85,296.59,80,15,6.74,MG,1728675511
349,haiku-pauwela,20.9219,-156.3051,299.96,75,20,7.6,US,1728675512
350,tamanrasset,22.785,5.5228,302.1,18,40,1.54,DZ,1728675514
351,karungdong,5.8844,121.263,300.01,83,100,0.45,PH,1728675515
352,arochukwu,5.3898,7.914,297.17,96,99,1.55,NG,1728675516
353,banamba,13.55,-7.45,303.05,54,99,2.65,ML,1728675518
354,daru,-9.0763,143.2092,298.97,87,100,7.91,PG,1728675519
355,fort bragg,35.139,-79.006,295.09,37,0,3.09,US,1728675521
356,marquette,46.5333,-87.6335,290.95,66,1,4.47,US,1728675522
357,papao,-17.75,-149.55,300.97,84,77,6.13,PF,1728675524
358,weligama,5.9667,80.4167,300.88,90,97,7.91,LK,1728675525
359,koh kong,11.6175,102.9806,298.55,88,65,1.78,KH,1728675527
360,santa ana,33.7456,-117.8678,304.14,49,0,1.79,US,1728675528
361,kill devil hills,36.0307,-75.676,292.16,53,0,4.63,US,1728675529
362,ulladulla,-35.35,150.4667,287.38,70,99,6.78,AU,1728675532
